numero,pelicula,distribuidora,recaudacion_mundial,ano_estreno,director
1,Avengers: Endgame,Marvel Studios/Walt Disney Pictures,2797800564,2019,Anthony y Joe Russo
2,Avatar,20th Century Fox,2787965087,2009,James Cameron
3,Titanic,20 Century Fox/Paramount Pictures,2187463944,1997,James Cameron
4,Star Wars: Episodio VII - El despertar de la Fuerza,Walt Disney Pictures,2068223624,2015,J. J. Abrams
5,Avengers: Infinity War,Marvel Studios/Walt Disney Pictures,2048359754,2018,Anthony y Joe Russo
6,Jurassic World,Universal Pictures,1671713208,2015,Colin Trevorrow
7,El rey león,Walt Disney Pictures,1656943394,2019,Jon Favreau
8,The Avengers,Marvel Studios/Walt Disney Pictures,1518812988,2012,Joss Whedon
9,Furious 7,Universal Studios,1516045911,2015,James Wan
10,Frozen II,Walt Disney Pictures,1449058802,2019,"Chris Buck,Jennifer Lee"
11,Avengers: Age of Ultron,Marvel Studios/Walt Disney Pictures,1405403694,2015,Joss Whedon
12,Black Panther,Marvel Studios/Walt Disney Pictures,1346913161,2018,Ryan Coogler
13,Harry Potter y las Reliquias de la Muerte: parte 2,Warner Bros,1341693157,2011,David Yates
14,Star Wars: Episodio VIII - Los últimos Jedi,Walt Disney Pictures,1332539889,2017,Rian Johnson
15,Jurassic World: El reino caído,Universal Pictures,1309484461,2018,JA Bayona
16,Frozen,Walt Disney Pictures,1276480335,2013,"Chris Buck,Jennifer Lee"
17,La bella y la bestia,Walt Disney Pictures,1263521126,2017,Bill Condon
18,Los Increíbles 2,Walt Disney Pictures/,1242805359,2018,Brad Bird
19,The Fate of the Furious,Universal Studios,1236005118,2017,F. Gary Gray
20,Iron Man 3,Marvel Studios/,1214811252,2013,Shane Black
21,Minions,Universal Studios,1159398397,2015,Pierre Coffin
22,Capitán América: Civil War,Marvel Studios/,1153304495,2016,Anthony y Joe Russo
23,Aquaman,Warner Bros,1147961807,2018,James Wan
24,Spider-Man: Far From Home,Sony/Columbia,1131927996,2019,Jon Watts
25,Capitana Marvel,Marvel Studios/Walt Disney Pictures,1128274794,2019,"Anna Boden,Ryan Fleck"
26,Transformers: el lado oscuro de la luna,Paramount Pictures/,1123794079,2011,Michael Bay
27,El Señor de los Anillos: el retorno del Rey,New Line Cinema,1119929521,2003,Peter Jackson
28,Skyfall,Sony/MGM/Columbia,1108561013,2012,Sam Mendes
29,Transformers: la era de la extinción,Paramount,1104054072,2014,Michael Bay
30,The Dark Knight Rises,Warner Bros,1084939099,2012,Christopher Nolan
31,Joker,Warner Bros,1074151311,2019,Todd Phillips
32,Star Wars: Episodio IX - El ascenso de Skywalker,Walt Disney Pictures,1073606093,2019,J. J. Abrams
33,Toy Story 4,Walt Disney Pictures/,1073394593,2019,Josh Cooley
34,Toy Story 3,Walt Disney Pictures/,1066969703,2010,Lee Unkrich
35,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures,1066179725,2006,Gore Verbinski
